company,type,hq_or_branch,primary_markets_overlapping_bt,website,phone,google_rating,google_reviews,years_claimed,pricing_public,notable_offer,online_booking,military_angle,termite,mosquito_included_in_pest_plan,wildlife_or_moisture,review_response_observed,threat_to_bt,notes,source_url,date,confidence
Port City Pest,local,8209 Market St suite a-254 Wilmington NC 28411,Wilmington Leland Wrightsville Hampstead Burgaw,unknown,unknown,unknown,144 on pestcontrolreviews.com,unknown,no,owner answers phone (review theme),unknown,weak,unknown,unknown,unknown,unknown,medium,"High Wilmington review density on aggregator",https://www.pestcontrolreviews.com/Port-City-Pest/Wilmington.html,2026-08-23,medium
Bugno Pest Control,local,Wilmington,Wilmington area,unknown,unknown,4.9 HomeAdvisor,HomeAdvisor rated,family,bi-monthly/quarterly; mosquito monthly from $50; no contracts,24/7; cancel anytime,unknown,weak,termite + WDIR,mosquito $50/mo starting,unknown,unknown,medium,"No-contract positioning opposite B&T annual-sounding plans",https://www.homeadvisor.com/rated.BugnoPestControl.44985680.html,2026-08-23,medium
Dodson Brothers,regional,Wilmington location page,"Wilmington, Wrightsville, Carolina Beach, Hampstead, Leland",https://www.dodsonbros.com/location/wilmington/,844-501-5084,unknown,unknown,since 1944 / 82+ years,no,free inspection; same-day; 100% satisfaction,form,weak,yes,unknown,unknown,unknown,medium,"Family regional; VA heritage; 24/7 CTA",https://www.dodsonbros.com/location/wilmington/,2026-08-23,high
Orkin,national,New Bern branch 1317 Commerce Dr serving JAX; Wilmington branch,"Jacksonville, Camp Lejeune, Hubert, Richlands, Swansboro, Wilmington",https://www.orkin.com/locations/north-carolina-nc/jacksonville-pest-control,unknown,unknown,unknown,125+ years,hidden behind quote; national $75 off APPLY75,24/7; money-back; free touch-ups,account portal,national brand trust,liquid + bait options,add-on,unknown,unknown,high,"Always-on ads + 24/7; New Bern branch covers Onslow; does not publish local price",https://www.orkin.com/locations/north-carolina-nc/jacksonville-pest-control,2026-08-23,high
Terminix,national,Wilmington 2111 Capital Drive,Wilmington + coastal NC,https://www.terminix.com/,910-310-0271,unknown,unknown,national,hidden; codes SAVE75/BITE50/SAVE50,free termite inspection ads; 264 Meta ads nationally,portal,national,yes,add-on,wildlife,unknown,high,"Paid search and Meta saturation; not a review-trust leader locally",https://admakeai.com/advertisers/terminix,2026-08-23,medium
Aptive,national,10 Cardinal Dr S Suite 100 Wilmington NC 28403,"Jacksonville, Holly Ridge, Sneads Ferry, Swansboro, Hampstead, Wilmington",https://aptivepestcontrol.com/locations/north-carolina-nc/jacksonville-nc-pest-control/,910-348-5384,unknown,unknown,growth brand,customer-reported ~$70/mo Wilmington; national ~$560-620/yr,door-to-door + 12-month contracts,yes/chat,weak,limited vs locals,included in some plans,no,unknown,high,"Door-to-door in B&T towns; annual contract clawbacks; convenience seller",https://aptivepestcontrol.com/locations/north-carolina-nc/jacksonville-nc-pest-control/,2026-08-23,high
Hawx,national,4536-1 Technology Dr Wilmington,"Jacksonville, Surf City, Hampstead, Holly Ridge, Wrightsville, Sneads Ferry, Swansboro",https://hawxpestcontrol.com/,unknown,unknown,unknown,growth brand,$150 off homepage; older NC150 code,tech-forward interior/exterior,unknown,weak,unknown,add-on,unknown,unknown,medium,"Paid acquisition machine; $150 off outguns B&T $75",https://hawxpestcontrol.com/,2026-08-23,medium
Massey Services,regional,2710-A Exchange Dr Wilmington,Wilmington + Eastern NC page names JAX,unknown,unknown,unknown,unknown,Florida-rooted regional,$50 off new annual pest,unknown,weak,yes,add-on,unknown,unknown,medium,"Professional brand; less local personality",unknown,2026-08-23,low
Mosquito Authority Jacksonville,franchise,Jacksonville NC,"Jacksonville, Sneads Ferry, Surf City, Swansboro, Onslow",https://www.mosquito-authority.com/jacksonville-nc/services/,803-598-9565,unknown,unknown,franchise,mosquito+pest $89/mo; Total Home $149/mo; tick add-on $39,no-commitment estimate,quote form,weak,termites in $149 bundle,core product,no,unknown,high,"Owns mosquito search intent; prices higher than B&T PestGuard which already includes mosquitoes",https://www.mosquito-authority.com/jacksonville-nc/services/,2026-08-23,high
Mosquito Authority Wilmington,franchise,Wilmington NC 28412,"Wilmington, Wrightsville, Carolina Beach, Hampstead, Burgaw, Kure Beach",https://www.mosquito-authority.com/wilmington-nc/,910-537-2540,unknown,unknown,franchise,unknown local dollars,no commitments; free return,quote,weak,no,core product,no,unknown,medium,"Seasonal share-of-voice in ILM",https://www.mosquito-authority.com/wilmington-nc/,2026-08-23,high
Mosquito Joe of Southeastern NC,franchise,Wilmington/SE NC,Wilmington Brunswick SE NC,unknown,unknown,unknown,unknown,franchise,57% off Home Pest Defense with Mosquito; $25 off first; 5% hero; $50/$50 referral,expire 12/31/2026,unknown,5% military,unknown,core product,no,unknown,medium,"Richer referral math than B&T",unknown,2026-08-23,medium
Bug Out,regional,2000 Corporate Dr unit 2 Wilmington; HQ Charlotte,"Jacksonville, Camp Lejeune, Wilmington",https://www.bugoutservice.com/onslow-county/jacksonville/,unknown,unknown,unknown,60+ years,no,24/7 CS; attic insulation + crawl moisture,form,Camp Lejeune page,yes,unknown,insulation + moisture,unknown,medium,"Home-performance bundle B&T crawl space could fight",https://www.bugoutservice.com/onslow-county/jacksonville/,2026-08-23,high
Riggs Moisture Termite & Pest,local,Hampstead NC,"Hampstead, Pender, Topsail",https://riggsexterminatorsnc.com/,unknown,unknown,unknown,local,no,moisture+termite combo,form,weak,yes,mosquito listed,moisture core,unknown,medium,"Hampstead specialist; WDI reports",https://riggsexterminatorsnc.com/,2026-08-23,high
Clegg's Pest Control,regional,NC offices including Wilmington,Wilmington statewide,unknown,unknown,unknown,unknown,NC institution,$39 off initial pest; $100 off termite; 15% military; 15% first responder,coupon pages,15% military,yes,unknown,moisture $100 off,unknown,medium,"Military % discount richer than B&T $25 on large tickets",unknown,2026-08-23,medium
Economy Exterminators,regional,Wilmington listed on coupons,Wilmington + Triangle,unknown,unknown,unknown,unknown,regional,$ off initial; $50 referral + $500 drawing,coupons,weak,yes,mosquito,unknown,unknown,low,"Referral lottery out-markets B&T $20",unknown,2026-08-23,low
Canady & Son Exterminating,local,Wilmington,Wilmington,unknown,unknown,unknown,unknown,family,no public price,unknown,unknown,weak,unknown,unknown,unknown,unknown,low,"Directory presence only in this research pass",https://www.pestcontrolreviews.com/Healthy-Home-Pest-Control/Wilmington.html,2026-08-23,low
Jay Taylor Exterminating,local,Wilmington,Wilmington,unknown,unknown,unknown,unknown,local,no,unknown,unknown,weak,unknown,unknown,unknown,unknown,low,"Named in Wilmington directories",unknown,2026-08-23,low
Ehrlich / Rentokil,national,Wilmington directories,Wilmington,unknown,unknown,unknown,unknown,national,hidden,brand trust,unknown,weak,yes,unknown,unknown,unknown,low,"Brand search only",unknown,2026-08-23,low
Pest Authority,local/regional,Wilmington directories,Wilmington,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,weak,unknown,unknown,unknown,unknown,low,"Directory-only this pass",unknown,2026-08-23,low
G's Pest Control,local,Sneads Ferry NC,Sneads Ferry Holly Ridge North Topsail,unknown,unknown,unknown,unknown,local,unknown,in-town Maps #1 vs B&T,unknown,likely,unknown,unknown,unknown,unknown,high,"Maps leader on pest control Sneads Ferry in 2026-08-23 sample; site not fully profiled",evidence/search-observations.csv,2026-08-23,medium
Bug-N-A-Rug Exterminators,local,19618 US-17 Hampstead NC,"Hampstead, Surf City, Topsail, Holly Ridge spillover",unknown,910-270-3330,unknown,unknown,local,unknown,unknown,unknown,weak,unknown,unknown,unknown,unknown,high,"Maps #1 Surf City and Hampstead in 2026-08-23 sample; organic mill pages on many B&T towns",evidence/search-observations.csv,2026-08-23,high
Arrow Exterminators (GA national),national,no confirmed Wilmington/JAX branch,Charlotte/Raleigh/WS listed not this coast,https://www.arrowexterminators.com/,n/a,n/a,n/a,national,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,ignore_for_now,"Not confirmed in B&T footprint",https://www.arrowexterminators.com/,2026-08-23,medium
Native Pest Management,out_of_market,Florida,none,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,ignore,"Florida-only; excluded",n/a,2026-08-23,high
