Company,Service,Price,Pricing Structure,Price Type,Promotion,Geography,Source URL,Date Observed,Confidence,Notes
B&T Pest Control,Refer-a-friend PestGuard,20 / 20,Account credit both sides,Promotion,Refer a friend,Eastern NC,https://www.btpestcontrol.com/refer-friend,2026-08-23,High,
B&T Pest Control,Refer-a-friend PestGuard Plus,25 / 25,Account credit both sides,Promotion,Refer a friend,Eastern NC,https://www.btpestcontrol.com/refer-friend,2026-08-23,High,
B&T Pest Control,Refer-a-friend termite,25 / 25,Account credit both sides,Promotion,Refer a friend,Eastern NC,https://www.btpestcontrol.com/refer-friend,2026-08-23,High,
B&T Pest Control,Refer-a-friend bed bug,25 / 25,Account credit both sides,Promotion,Refer a friend,Eastern NC,https://www.btpestcontrol.com/refer-friend,2026-08-23,High,
B&T Pest Control,Refer-a-friend crawl space encapsulation,50 / 50,Account credit both sides,Promotion,Refer a friend,Eastern NC,https://www.btpestcontrol.com/refer-friend,2026-08-23,High,
Cape Fear Termite & Pest Control,Guaranteed quarterly pest control,85,Per quarter visit,Verified advertised,Refer-a-friend discount mentioned without amount,Wilmington New Hanover Pender South Brunswick Leland Topsail Hampstead,https://www.capefearpestcontrol.com/,2026-08-23,High,"Homepage: Only $85 / Quarter. Guarantee list: American roaches rats mice spiders silverfish scorpions ants. Does not advertise mosquito inclusion."
Cape Fear Termite & Pest Control,WDI / related quarterly line,80,Per quarter (context adjacent to WDI Reports),Verified advertised,,Same,https://www.capefearpestcontrol.com/,2026-08-23,Medium,Homepage HTML shows $80 / quarter next to WDI Reports and $85 / quarter for guaranteed pest. SKU mapping slightly ambiguous.
Cape Fear Termite & Pest Control,Bed bug inspection,95,One-time; waived with service,Verified advertised,,Same,https://www.capefearpestcontrol.com/,2026-08-23,High,
Cape Fear Termite & Pest Control,Termite inspection,125,One-time; waived with service,Verified advertised,,Same,https://www.capefearpestcontrol.com/,2026-08-23,High,
Diamond Pest Pro,Initial interior and exterior pest service,269,Starting price for initial service,Verified advertised / Starting price,Free estimate; 100% callback guarantee,Wilmington Jacksonville Hampstead; Onslow Pender New Hanover Brunswick Jones NC,https://www.diamondpestpro.com/,2026-08-23,High,FAQ: ongoing plans vary by home size and pest pressure. $45/mo rumored in some search snippets NOT on live FAQ.
Diamond Pest Pro,Annual termite protection plan,299,Per year,Verified advertised,Includes inspections preventive treatment guaranteed retreatment,Same,https://www.diamondpestpro.com/,2026-08-23,High,Cheap termite-only bond vs B&T Plus combined plan.
Pest & Termite Consultants,PTC Plus pest + Trelona termite,175,Per quarter ($700/year),Verified advertised,"Termite system installed free ($700 claimed value); no long-term contracts",Wilmington and Jacksonville NC pages,https://www.pestandtermiteconsultants.com/wilmington?offer=mosquitofree,2026-08-23,High,Bought-separately story: $1600 first year vs $700. Direct analog to B&T PestGuard Plus.
Pest & Termite Consultants,Seasonal mosquito (10 treatments Mar-Oct),10th treatment free,Seasonal every ~3 weeks,Promotion,Sign up for full season get 10th treatment FREE,Wilmington,https://www.pestandtermiteconsultants.com/wilmington?offer=mosquitofree,2026-08-23,High,Per-treatment dollar not published.
Mosquito Authority of Jacksonville NC,Mosquito and pest control protection,89,Per month bundle,Verified advertised,,Jacksonville Camp Lejeune Holly Ridge Sneads Ferry Swansboro Richlands Hubert etc,https://www.mosquito-authority.com/jacksonville-nc/,2026-08-23,High,No long-term contracts; 21-day mosquito cycle; free re-treat.
Mosquito Authority of Jacksonville NC,Total Home and Yard Protection,149,Per month bundle,Verified advertised,,Same,https://www.mosquito-authority.com/jacksonville-nc/,2026-08-23,High,Pests mosquitoes flies ticks gnats and termites.
Mosquito Authority of Jacksonville NC,Tick fly flea or gnat add-on,39,Per service add-on to mosquito plan,Verified advertised,,Same,https://www.mosquito-authority.com/jacksonville-nc/,2026-08-23,High,
Mosquito Joe of Southeastern NC,Home Pest Defense with Mosquito,57% off (base unpublished),Percent off bundle,Promotion,Expires 12/31/2026; not combinable; present at scheduling,Wilmington Brunswick Fayetteville Southern Pines SE NC franchise,https://mosquitojoe.com/locations/south-eastern-nc/special-offers/,2026-08-23,High,Dollar base not shown so net price unknown.
Mosquito Joe of Southeastern NC,First treatment,25 off,One-time,Promotion,Expires 12/31/2026; not combinable,Same,https://mosquitojoe.com/locations/south-eastern-nc/special-offers/,2026-08-23,High,
Mosquito Joe of Southeastern NC,Hero discount,5% off,Percent off,Promotion,LE fire first responders active/retired military; expires 12/31/2026; not combinable,Same,https://mosquitojoe.com/locations/south-eastern-nc/special-offers/,2026-08-23,High,
Mosquito Joe of Southeastern NC,Refer-a-friend,50 / 50,New customer $50 off first; referrer $50 credit; up to 10 friends ($500),Promotion,Share the MoJo,Same,https://mosquitojoe.com/locations/south-eastern-nc/special-offers/,2026-08-23,High,Much richer than B&T PestGuard $20 referral.
Massey Services,New annual pest prevention (Wilmington),50 off,Discount on initial of new annual program,Promotion,Not combinable; cannot apply to current charges or termite renewals; not to exceed initial service value,Wilmington 2710-A Exchange Dr,https://www.masseyservices.com/wilmington/pest-control/,2026-08-23,High,No public recurring rate. Free inspection then custom quote. Quarterly service described in FAQ.
Hawx Pest Control,First service,150 off,One-time off first service,Promotion,Homepage GET $150 OFF; some NC city WP pages historically used code NC150; some Wilmington WP copy said up to $350 off,Wilmington branch 4536-1 Technology Dr serving Jacksonville Surf City Hampstead Holly Ridge Wrightsville Beach Carolina Beach Sneads Ferry Swansboro,https://hawxpestcontrol.com/,2026-08-23,High,No public recurring rate on Wilmington/Jacksonville pages. GPC is quarterly after initial.
Hawx Pest Control,General pest (Raleigh quote example),350 initial then 50 per month,Initial + monthly; quarterly visits,Customer-reported,150 off on that quote; cancel reimburses discount,Raleigh NC (not Eastern NC) used as Hawx analog,https://www.thisoldhouse.com/pest-control/hawx-pest-control-review,2026-08-23,Medium,This Old House: 3000 sq ft Raleigh home. Closest public Hawx dollars.
Orkin,First recurring pest control,75 off,Promo code APPLY75,Promotion,Save $75 on first recurring pest control,National including Wilmington NC,https://www.orkin.com/,2026-08-23,High,Live on homepage and free-estimate page 2026-08-23. Older $50 / 50OFF still in USA Today April 2026 leftover articles.
Orkin,Pest Prevention Plan (aggregator),40-100 per month + 175-350 initial,Monthly billed; ~every 60 days per aggregator,Estimated market range / Starting price,pests.org still lists $50 off; Orkin.com now $75 APPLY75,Raleigh/Greensboro tables reused; Wilmington pests.org repeats 175-350 initial and 40-100/mo,https://www.pests.org/Orkin/Raleigh.html,2026-08-23,Medium,NOT on orkin.com. Treat as aggregator estimate for NC not a Wilmington rate card.
Orkin,Mosquito (aggregator),25-100 per month + 0-75 initial,Seasonal monthly,Estimated market range,,Raleigh table; Wilmington pests.org ~50/mo mosquito,https://www.pests.org/Orkin/Raleigh.html,2026-08-23,Medium,
Orkin,Bed bug inspection (aggregator),95-116,One-time inspection credited if treated,Estimated market range,,Raleigh/Wilmington pests.org,https://www.pests.org/exterminators/NC/Wilmington.html,2026-08-23,Medium,
Terminix,Pest control initial (national site),50-75 off,Promo codes SAVE50 on /pest-control/ and SAVE75 on homepage,Promotion,Also BITE50 $50 off mosquito/tick; bundle termite+pest save avg 175; 100 off rodent/wildlife,National; Wilmington branch 2111 Capital Drive 910-310-0271,https://www.terminix.com/,2026-08-23,High,ZIP quote tool not used. Recurring dollar not shown without address. Codes conflict across pages.
Terminix,PestFree365 / PestFree365+ ,Custom after address,Monthly billing; visits typically triannual or quarterly,Starting price (unpublished),SAVE50/SAVE75,Wilmington NC branch exists,https://www.terminix.com/pest-control/,2026-08-23,High,Plan mechanics verified; local price not verified.
Terminix Triad,Pest control plan,42,Per month starting; initial fees apply,Verified advertised / Starting price,50 off recurring pest,NC Triad only NOT Eastern NC,https://www.terminix-triad.com/residential-services/pest-control/,2026-08-23,High,Best public Terminix dollar in NC. Blog: 468/year with three treatments year 1.
Terminix Triad,Pest + mosquito plan,73,Per month starting,Verified advertised / Starting price,,NC Triad,https://www.terminix-triad.com/residential-services/pest-control/,2026-08-23,High,Mosquito season March-October.
Terminix Triad,Pest + termite (Sentricon),102,Per month starting,Verified advertised / Starting price,100 off termite baiting,NC Triad,https://www.terminix-triad.com/residential-services/pest-control/,2026-08-23,High,Analog to B&T Plus; priced much higher than 59.
Terminix Triad,Pest + mosquito + termite,133,Per month starting,Verified advertised / Starting price,,NC Triad,https://www.terminix-triad.com/residential-services/pest-control/,2026-08-23,High,
Aptive Environmental,Wilmington residential pest,Custom / unpublished on branch page,Year-round interior+exterior; free re-service,Starting price (unpublished),Lead-gen pages: 200 off initial vs 399 list; some 2026 reviews 49 first treatment with 12-mo agreement,Wilmington branch 10 Cardinal Dr S Suite 100; also lists Jacksonville Hampstead Holly Ridge Sneads Ferry Swansboro Carolina Beach,https://aptivepestcontrol.com/locations/north-carolina-nc/wilmington-pest-control/local-branch/,2026-08-23,High,Presence verified. Price NOT on Aptive Wilmington page.
Aptive Environmental,Initial Pro+ list (other-market quote),399,Initial then standard follow-up,Customer-reported / Starting price,Discounts common; 200 off vs 399 on pestcontrolexperts NC pages,Quoted Portland OR in Homeowner.com; list used in NC lead-gen disclaimer,https://www.homeowner.com/pest-control/aptive-pest-control-review/,2026-08-23,Medium,Standard Treatments cited at 219 in that review.
Aptive Environmental,Lead-gen NC monthly teaser,49,From 49/mo star; eligibility apply,Promotion / Starting price,200 off initial; 12-month agreement; clawback up to 199,Greenville NC lead-gen also lists Wilmington,https://www.athomepros.com/pest-control-service/aptive/north-carolina/greenville/,2026-08-23,Low,Third-party lead-gen not Aptive.com. Do not treat as verified Wilmington rate.
Aptive Environmental,Four-season plan (editorial),560-620 per year,Annual contract quarterly-ish for ~2000 sq ft,Estimated market range,,National/Charlotte compilations,https://www.thisoldhouse.com/pest-control/terminix-vs-aptive,2026-08-23,Medium,
Clegg's Pest Control,Initial general pest (Wilmington),39 off,Discount on initial if enrolling in maintenance,Promotion,Residential new customers; not combinable; limit one household,Wilmington 3417 Enterprise Dr 910-796-1202,https://www.cleggs.com/locations/wilmington/,2026-08-23,High,Base price unpublished.
Clegg's Pest Control,Initial termite,100 off,New initial termite only,Promotion,Not closings or pretreat; not combinable,Wilmington / NC,https://www.cleggs.com/locations/wilmington/,2026-08-23,High,
Clegg's Pest Control,Military discount,15% off,Percent off (restrictions),Promotion,Current or former military; limit one household,NC including Wilmington,https://www.cleggs.com/coupons/cleggs-military-discount/,2026-08-23,High,
Clegg's Pest Control,First responder discount,15% off,Percent off (restrictions),Promotion,Current first responders; limit one household,NC,https://www.cleggs.com/coupons/cleggs-military-discount/,2026-08-23,High,
Clegg's Pest Control,Bed bug (new residential),15% off,Percent off initial bed bug; excludes encasements,Promotion,,NC,https://www.cleggs.com/coupons/cleggs-military-discount/,2026-08-23,High,
Clegg's Pest Control,Initial moisture control,100 off,Initial moisture services only,Promotion,,NC,https://www.cleggs.com/coupons/cleggs-military-discount/,2026-08-23,High,
Economy Exterminators,Initial pest (with recurring signup),Unspecified save,New pest customers,Promotion,Call to save on initial,Wilmington Raleigh Charlotte,https://www.economyexterminators.com/pest-control-coupons/,2026-08-23,Medium,No dollar on coupon page. Wilmington review says cost super affordable.
Economy Exterminators,Refer-a-friend,50 plus 500 drawing,50 when friend signs; quarterly 500 drawing,Promotion,,NC including Wilmington,https://www.economyexterminators.com/pest-control-coupons/,2026-08-23,High,
Jones Pest Control,Quarterly residential pest,Unpublished,Quarterly service confirmed in reviews,Customer-reported,Financing advertised; free inspections/low prices claimed on about page,Jacksonville Richlands Swansboro Topsail Surf City,https://jonespestnc.com/,2026-08-23,Medium,Reviews: every three months at super competitive price; mosquito price fair; one free extra house call. No rate card.
Port City Pest,Residential pest / mosquito / termite,Unpublished,Custom; quarterly mentioned on Nextdoor,Customer-reported,Free pricing estimate on third-party listings,New Hanover Brunswick Pender,https://www.portcitypestnc.com/,2026-08-23,Low,No public prices. Qualitative worth-every-penny mosquito reviews.
Canady & Son Exterminating,Residential pest / termite,Unpublished,Custom estimate after inspection,Customer-reported,Fair/reasonable pricing in reviews,Wilmington,https://canadyandson.com/,2026-08-23,Low,No public prices.
Arrow Exterminators (national),Initial pest / mosquito / fire ant,50 off (indexed; not rendered on live /specials),One-time off initial,Promotion,STEPS bundle; 25 off lawn also indexed,NC branches Charlotte Mooresville Raleigh Rocky Mount Winston-Salem — NOT confirmed in Onslow/New Hanover,https://www.arrowexterminators.com/specials,2026-08-23,Low,Live specials page did not show dollar offers. Commercial specials URL 404. Do not treat as Eastern NC offer.
Arrow Exterminators (national),Mosquito (PestGnome),55,Per month,Estimated market range,,National not this DMA,https://pestgnome.com/blog/reviews/arrow-exterminators/,2026-08-23,Low,
Arrow Exterminators Inc. (NC company),Monthly or quarterly pest,Unpublished,Most residential quarterly after initial,Starting price (unpublished),Free termite inspection,NC/SC licensed; Eastern NC coverage unconfirmed,https://www.arrow-exterminators.com/,2026-08-23,Low,Different company from GA-based Arrow.
Native Pest Management,Quarterly home pest,49 per month starting,Monthlyized quarterly,Verified advertised,Up to 300 off first (homepage) / 100 off (plans); Florida only,Florida NOT NC,https://www.nativepestmanagement.com/,2026-08-23,High,Checked per brief: NOT present in Eastern NC.
Bug Out,Initial pest with preventive plan,50 off,New customer coupon expires 08/31/2026,Promotion,Specials page geography: Charlotte Raleigh-Durham Greensboro,https://www.bugoutservice.com/specials/,https://www.bugoutservice.com/specials/,2026-08-23,Medium,Not a core Jacksonville/Wilmington competitor on the specials page.
NC market guide (pestcontrolpricing.com),One-time general pest,95-290,Per visit,Estimated market range,,North Carolina; Coastal Plain includes Wilmington Jacksonville,https://pestcontrolpricing.com/north-carolina-pest-control-cost/,2026-08-23,Low,Midpoint 160.
NC market guide (pestcontrolpricing.com),Quarterly recurring,100-170,Per visit,Estimated market range,,Coastal Plain same band,https://pestcontrolpricing.com/north-carolina-pest-control-cost/,2026-08-23,Low,Midpoint 135/visit; 400-680/year.
NC market guide (pestcontrolpricing.com),Bi-monthly recurring,60-100,Per visit,Estimated market range,,NC,https://pestcontrolpricing.com/north-carolina-pest-control-cost/,2026-08-23,Low,Midpoint 80. B&T PestGuard 45/mo * 2 months = 90 per visit equivalent.
NC market guide (pestcontrolpricing.com),Monthly recurring,40-70,Per visit,Estimated market range,,NC; guide says coastal homes often choose monthly,https://pestcontrolpricing.com/north-carolina-pest-control-cost/,2026-08-23,Low,Orkin NC cited 45-65/mo + 200-350 initial in same guide.
NC ZIP guide (pestcontrolpricing.com),NC 270-289 quarterly,95-165,Per visit,Estimated market range,,North Carolina zip prefix,https://pestcontrolpricing.com/pest-control-cost-by-zip-code/,2026-08-23,Low,At national average.
This Old House Terminix editorial,General pest,139 per quarter under 3999 sq ft,Quarterly,Estimated market range,,National editorial,https://www.thisoldhouse.com/pest-control/terminix-vs-aptive,2026-08-23,Low,Conflicts with Terminix Triad 42/mo advertised. Do not apply to Wilmington without a quote.
PestGnome Terminix Charlotte,Basic pest,105,Per quarter,Customer-reported / reviewer,250 one-time,Charlotte NC,https://pestgnome.com/blog/reviews/terminix-charlotte-nc/,2026-08-23,Medium,Not Wilmington.
PestGnome Aptive Charlotte,Basic pest,140-155,Per quarter,Customer-reported / reviewer,,Charlotte NC,https://pestgnome.com/blog/reviews/aptive-environmental-charlotte-review/,2026-08-23,Medium,Annual 560-620 for 2000 sq ft.
